Date,Last Price,Volume
12/16/24 9:30,52.57,73157
12/16/24 9:45,52.66,40918
12/16/24 10:00,52.71,32432
12/16/24 10:15,52.88,13266
12/16/24 10:30,53.21,26878
12/16/24 10:45,53.465,19313
12/16/24 11:00,53.16,58827
12/16/24 11:15,53.18,9813
12/16/24 11:30,53.15,12632
12/16/24 11:45,53.62,43745
12/16/24 12:00,53.765,14752
12/16/24 12:15,53.52,25151
12/16/24 12:30,53.665,21104
12/16/24 12:45,53.47,8284
12/16/24 13:00,53.49,14432
12/16/24 13:15,53.62,72227
12/16/24 13:30,53.72,17864
12/16/24 13:45,53.78,7200
12/16/24 14:00,53.76,13276
12/16/24 14:15,53.265,38905
12/16/24 14:30,53.35,18591
12/16/24 14:45,53.355,22214
12/16/24 15:00,53.3,13120
12/16/24 15:15,53.285,16397
12/16/24 15:30,53.115,32880
12/16/24 15:45,53.26,144159
12/17/24 9:30,53.011,60535
12/17/24 9:45,52.975,8389
12/17/24 10:00,52.64,16546
12/17/24 10:15,52.82,14761
12/17/24 10:30,52.79,15678
12/17/24 10:45,52.95,9817
12/17/24 11:00,52.8794,15103
12/17/24 11:15,53.19,16932
12/17/24 11:30,53.07,16092
12/17/24 11:45,52.77,13424
12/17/24 12:00,52.85,17183
12/17/24 12:15,52.87,20515
12/17/24 12:30,52.82,21903
12/17/24 12:45,52.88,14069
12/17/24 13:00,52.79,24242
12/17/24 13:15,52.7056,5807
12/17/24 13:30,52.815,9508
12/17/24 13:45,52.79,9978
12/17/24 14:00,52.87,22779
12/17/24 14:15,52.665,12792
12/17/24 14:30,52.81,222168
12/17/24 14:45,52.9,19647
12/17/24 15:00,52.87,20132
12/17/24 15:15,52.82,24950
12/17/24 15:30,52.94,29855
12/17/24 15:45,52.7,166103
12/18/24 9:30,53.495,31575
12/18/24 9:45,54.02,51447
12/18/24 10:00,53.97,144641
12/18/24 10:15,54.075,48665
12/18/24 10:30,54.39,66626
12/18/24 10:45,54.44,29543
12/18/24 11:00,54.13,52579
12/18/24 11:15,54.15,34213
12/18/24 11:30,54.04,35548
12/18/24 11:45,53.72,22921
12/18/24 12:00,53.745,23965
12/18/24 12:15,53.755,13709
12/18/24 12:30,53.91,24750
12/18/24 12:45,53.81,16007
12/18/24 13:00,54,11399
12/18/24 13:15,54.12,18670
12/18/24 13:30,54.035,18977
12/18/24 13:45,54.06,21333
12/18/24 14:00,53.6,83270
12/18/24 14:15,53.72,91832
12/18/24 14:30,53.71,41511
12/18/24 14:45,53.26,141124
12/18/24 15:00,52.89,77880
12/18/24 15:15,52.76,47442
12/18/24 15:30,51.97,149667
12/18/24 15:45,52.2,247037
12/19/24 9:30,53.92,77023
12/19/24 9:45,53.665,77200
12/19/24 10:00,53.56,49576
12/19/24 10:15,53.215,77963
12/19/24 10:30,53.3875,126757
12/19/24 10:45,54.07,48116
12/19/24 11:00,53.855,65194
12/19/24 11:15,54.169,51812
12/19/24 11:30,54.55,69179
12/19/24 11:45,54.68,67258
12/19/24 12:00,54.91,163351
12/19/24 12:15,54.8,66562
12/19/24 12:30,55.15,81219
12/19/24 12:45,55.25,47099
12/19/24 13:00,55,68529
12/19/24 13:15,55.11,62646
12/19/24 13:30,55.2816,43993
12/19/24 13:45,55.55,44791
12/19/24 14:00,55.65,59661
12/19/24 14:15,55.66,52398
12/19/24 14:30,55.67,60494
12/19/24 14:45,55.91,71115
12/19/24 15:00,55.73,56095
12/19/24 15:15,55.39,48366
12/19/24 15:30,55.36,81141
12/19/24 15:45,55.1,479843
12/20/24 9:30,54.43,184774
12/20/24 9:45,54.66,67730
12/20/24 10:00,54.98,50310
12/20/24 10:15,55.53,84847
12/20/24 10:30,55.96,104101
12/20/24 10:45,55.84,84665
12/20/24 11:00,56.29,147506
12/20/24 11:15,56.44,105787
12/20/24 11:30,56.58,165259
12/20/24 11:45,56.6,70296
12/20/24 12:00,57.11,114545
12/20/24 12:15,57.31,138969
12/20/24 12:30,57.31,48199
12/20/24 12:45,57.36,48889
12/20/24 13:00,57.02,51007
12/20/24 13:15,56.8676,48244
12/20/24 13:30,57.26,49796
12/20/24 13:45,57.42,77590
12/20/24 14:00,57.535,80147
12/20/24 14:15,57.7,48955
12/20/24 14:30,57.73,92912
12/20/24 14:45,57.645,113765
12/20/24 15:00,57.6734,82584
12/20/24 15:15,57.61,75088
12/20/24 15:30,57.7,205590
12/20/24 15:45,57.8,546796
12/23/24 9:30,56.8,300960
12/23/24 9:45,57.2493,89296
12/23/24 10:00,56.72,124930
12/23/24 10:15,56.43,132827
12/23/24 10:30,57.07,58528
12/23/24 10:45,57.04,45353
12/23/24 11:00,57.14,53594
12/23/24 11:15,57.385,29261
12/23/24 11:30,57.38,20245
12/23/24 11:45,57.61,50902
12/23/24 12:00,57.49,32313
12/23/24 12:15,57.585,42816
12/23/24 12:30,57.59,20849
12/23/24 12:45,57.57,44878
12/23/24 13:00,57.45,34950
12/23/24 13:15,57.17,36233
12/23/24 13:30,57.029,16212
12/23/24 13:45,57.56,26379
12/23/24 14:00,57.86,45094
12/23/24 14:15,58.01,39460
