Date,Last Price,Volume
2024-12-16 09:30:00,52.66,114075
2024-12-16 10:00:00,52.88,45698
2024-12-16 10:30:00,53.465,46191
2024-12-16 11:00:00,53.18,68640
2024-12-16 11:30:00,53.62,56377
2024-12-16 12:00:00,53.52,39903
2024-12-16 12:30:00,53.47,29388
2024-12-16 13:00:00,53.62,86659
2024-12-16 13:30:00,53.78,25064
2024-12-16 14:00:00,53.265,52181
2024-12-16 14:30:00,53.355,40805
2024-12-16 15:00:00,53.285,29517
2024-12-16 15:30:00,53.26,177039
2024-12-17 09:30:00,52.975,68924
2024-12-17 10:00:00,52.82,31307
2024-12-17 10:30:00,52.95,25495
2024-12-17 11:00:00,53.19,32035
2024-12-17 11:30:00,52.77,29516
2024-12-17 12:00:00,52.87,37698
2024-12-17 12:30:00,52.88,35972
2024-12-17 13:00:00,52.7056,30049
2024-12-17 13:30:00,52.79,19486
2024-12-17 14:00:00,52.665,35571
2024-12-17 14:30:00,52.9,241815
2024-12-17 15:00:00,52.82,45082
2024-12-17 15:30:00,52.7,195958
2024-12-18 09:30:00,54.02,83022
2024-12-18 10:00:00,54.075,193306
2024-12-18 10:30:00,54.44,96169
2024-12-18 11:00:00,54.15,86792
2024-12-18 11:30:00,53.72,58469
2024-12-18 12:00:00,53.755,37674
2024-12-18 12:30:00,53.81,40757
2024-12-18 13:00:00,54.12,30069
2024-12-18 13:30:00,54.06,40310
2024-12-18 14:00:00,53.72,175102
2024-12-18 14:30:00,53.26,182635
2024-12-18 15:00:00,52.76,125322
2024-12-18 15:30:00,52.2,396704
2024-12-19 09:30:00,53.665,154223
2024-12-19 10:00:00,53.215,127539
2024-12-19 10:30:00,54.07,174873
2024-12-19 11:00:00,54.169,117006
2024-12-19 11:30:00,54.68,136437
2024-12-19 12:00:00,54.8,229913
2024-12-19 12:30:00,55.25,128318
2024-12-19 13:00:00,55.11,131175
2024-12-19 13:30:00,55.55,88784
2024-12-19 14:00:00,55.66,112059
2024-12-19 14:30:00,55.91,131609
2024-12-19 15:00:00,55.39,104461
2024-12-19 15:30:00,55.1,560984
2024-12-20 09:30:00,54.66,252504
2024-12-20 10:00:00,55.53,135157
2024-12-20 10:30:00,55.84,188766
2024-12-20 11:00:00,56.44,253293
2024-12-20 11:30:00,56.6,235555
2024-12-20 12:00:00,57.31,253514
2024-12-20 12:30:00,57.36,97088
2024-12-20 13:00:00,56.8676,99251
2024-12-20 13:30:00,57.42,127386
2024-12-20 14:00:00,57.7,129102
2024-12-20 14:30:00,57.645,206677
2024-12-20 15:00:00,57.61,157672
2024-12-20 15:30:00,57.8,752386
2024-12-23 09:30:00,57.2493,390256
2024-12-23 10:00:00,56.43,257757
2024-12-23 10:30:00,57.04,103881
2024-12-23 11:00:00,57.385,82855
2024-12-23 11:30:00,57.61,71147
2024-12-23 12:00:00,57.585,75129
2024-12-23 12:30:00,57.57,65727
2024-12-23 13:00:00,57.17,71183
2024-12-23 13:30:00,57.56,42591
2024-12-23 14:00:00,58.01,84554
2024-12-23 14:30:00,57.93,97014
2024-12-23 15:00:00,58.01,90521
2024-12-23 15:30:00,58.14,355079
2024-12-24 09:30:00,57.765,190394
2024-12-24 10:00:00,57.95,116615
2024-12-24 10:30:00,57.775,70158
2024-12-24 11:00:00,57.89,56149
2024-12-24 11:30:00,58.03,68325
2024-12-24 12:00:00,57.97,50986
2024-12-24 12:30:00,58.17,108391
2024-12-24 13:00:00,58.27,67771
2024-12-26 09:30:00,58.45,110377
2024-12-26 10:00:00,58.41,65782
2024-12-26 10:30:00,58.5,47721
2024-12-26 11:00:00,58.41,64224
2024-12-26 11:30:00,58.32,39131
2024-12-26 12:00:00,58.12,33472
2024-12-26 12:30:00,58.06,32860
2024-12-26 13:00:00,58.415,54825
2024-12-26 13:30:00,58.19,24028
2024-12-26 14:00:00,58.15,22439
2024-12-26 14:30:00,58.1394,27499
2024-12-26 15:00:00,58.31,81309
2024-12-26 15:30:00,58.38,251777
2024-12-27 09:30:00,57.71,73513
2024-12-27 10:00:00,56.99,220471
2024-12-27 10:30:00,57.185,53407
2024-12-27 11:00:00,57.15,44382
2024-12-27 11:30:00,57.04,62443
