Interval,01/02/2025,01/03/2025,01/06/2025,01/07/2025,01/08/2025,01/10/2025,01/13/2025,01/14/2025,01/15/2025,01/16/2025,01/17/2025,01/21/2025,01/22/2025,01/23/2025,01/24/2025,01/27/2025,01/28/2025,01/29/2025,01/30/2025,01/31/2025,12/16/2024,12/17/2024,12/18/2024,12/19/2024,12/20/2024,12/23/2024,12/24/2024,12/26/2024,12/27/2024,12/30/2024,12/31/2024
09:30,128599.0,56746.0,115295.0,86191.0,50544.0,172318.0,165032.0,101096.0,49803.0,27067.0,18080.0,61945.0,46013.0,28717.0,42959.0,86768.0,69351.0,107936.0,77200.0,93298.0,114075.0,68924.0,83022.0,154223.0,252504.0,390256.0,190394.0,110377.0,73513.0,285664.0,75459.0
10:00,25552.0,22377.0,40650.0,126907.0,63650.0,87826.0,141416.0,35796.0,39811.0,20385.0,18209.0,22797.0,16329.0,41795.0,28490.0,19260.0,76269.0,50879.0,126980.0,79309.0,45698.0,31307.0,193306.0,127539.0,135157.0,257757.0,116615.0,65782.0,220471.0,87265.0,83327.0
10:30,141285.0,35376.0,34244.0,50661.0,25074.0,113795.0,83538.0,24009.0,36204.0,14893.0,36310.0,17987.0,12177.0,21591.0,25102.0,22970.0,88420.0,34978.0,55459.0,60349.0,46191.0,25495.0,96169.0,174873.0,188766.0,103881.0,70158.0,47721.0,53407.0,114862.0,88793.0
11:00,40475.0,30475.0,42342.0,43328.0,39991.0,70566.0,94318.0,19554.0,34890.0,16989.0,23761.0,19780.0,20578.0,19011.0,34260.0,38981.0,62039.0,38765.0,38611.0,40084.0,68640.0,32035.0,86792.0,117006.0,253293.0,82855.0,56149.0,64224.0,44382.0,32919.0,76753.0
11:30,35482.0,33629.0,27493.0,66562.0,15242.0,58162.0,65924.0,22718.0,41794.0,17132.0,20455.0,28530.0,19805.0,24392.0,23290.0,27048.0,26824.0,34186.0,113595.0,36087.0,56377.0,29516.0,58469.0,136437.0,235555.0,71147.0,68325.0,39131.0,62443.0,141549.0,42194.0
12:00,22679.0,23220.0,34340.0,30495.0,36741.0,55285.0,79701.0,22339.0,17029.0,9168.0,25878.0,33740.0,16350.0,24552.0,34769.0,29324.0,25860.0,34640.0,53242.0,50105.0,39903.0,37698.0,37674.0,229913.0,253514.0,75129.0,50986.0,33472.0,56582.0,71313.0,45805.0
12:30,69341.0,30179.0,23031.0,70878.0,33500.0,30286.0,51988.0,18096.0,59136.0,10038.0,13271.0,26850.0,10478.0,35020.0,24066.0,21205.0,28027.0,45889.0,35583.0,83934.0,29388.0,35972.0,40757.0,128318.0,97088.0,65727.0,108391.0,32860.0,47902.0,43268.0,36474.0
13:00,29427.0,17079.0,18805.0,66808.0,28965.0,24028.0,59141.0,18677.0,29747.0,9537.0,25953.0,48163.0,18373.0,30223.0,19426.0,70854.0,112537.0,43553.0,37701.0,95421.0,86659.0,30049.0,30069.0,131175.0,99251.0,71183.0,67771.0,54825.0,31869.0,69541.0,54727.0
13:30,22945.0,25537.0,29115.0,52428.0,48420.0,44494.0,61719.0,24216.0,20078.0,10493.0,21746.0,34525.0,12645.0,16569.0,32146.0,31520.0,24805.0,56246.0,23813.0,98877.0,25064.0,19486.0,40310.0,88784.0,127386.0,42591.0,,24028.0,30295.0,27485.0,35996.0
14:00,32607.0,12948.0,40009.0,25117.0,43294.0,70298.0,72342.0,80376.0,50760.0,63038.0,29620.0,25986.0,17887.0,26965.0,34776.0,14529.0,73522.0,108434.0,33569.0,144168.0,52181.0,35571.0,175102.0,112059.0,129102.0,84554.0,0.0,22439.0,52477.0,43961.0,35437.0
14:30,65661.0,14106.0,34722.0,43132.0,68643.0,99621.0,76225.0,23979.0,20612.0,16159.0,25005.0,52511.0,19144.0,26304.0,18010.0,55728.0,26967.0,48892.0,24624.0,128492.0,40805.0,241815.0,182635.0,131609.0,206677.0,97014.0,,27499.0,34469.0,56533.0,44810.0
15:00,41565.0,25529.0,38157.0,55048.0,51442.0,109908.0,75077.0,33559.0,92747.0,22416.0,27191.0,60793.0,25172.0,45500.0,31741.0,61448.0,40383.0,77598.0,115792.0,134797.0,29517.0,45082.0,125322.0,104461.0,157672.0,90521.0,0.0,81309.0,82819.0,93143.0,70297.0
15:30,200603.0,172903.0,163523.0,171860.0,220460.0,325458.0,273094.0,176400.0,244975.0,120654.0,122158.0,130977.0,111439.0,201195.0,109708.0,117490.0,163351.0,228613.0,260801.0,349902.0,177039.0,195958.0,396704.0,560984.0,752386.0,355079.0,0.0,251777.0,155855.0,377518.0,227590.0
